,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,0.0,0.5965270684371807,0.7518930659114078,0.7272727272727273,0.8499526752407994,1.0,0.0677570093457944,0.018085902890464644,3.7983706720977593e-06,0.6561753401890517,0.8121149897330597,0.6048805116122518,0.1743642292724661,0.8
1,0.0,0.5546475995914198,0.8479344597521532,0.9090909090909092,0.8675185123322754,0.0,0.06203271028037383,0.08381485063965974,0.0,0.814064609951179,0.29774127310061604,0.4904986296100399,0.14240963172503457,0.8
2,0.0,0.835546475995914,0.8029150563893038,0.09090909090909091,0.9169589666499638,1.0,0.09310747663551401,0.0341663794040292,0.0,0.14303521346213774,0.6488706365503081,0.5143530316872625,0.1724246347982733,0.8
3,0.0,0.6210418794688457,0.7979129004600983,0.5454545454545454,0.8944101107956126,0.0,0.05046728971962617,0.07396555877510144,0.0,0.14615144904954816,0.5143737166324436,0.44690580372169064,0.13643940051474535,0.8
4,0.0,0.7221654749744636,0.5938249385485144,0.4545454545454546,0.8284616669450475,1.0,0.054906542056074766,0.10150337480458074,0.0021792260692464357,0.11083411239223018,0.19815195071868585,0.42313795258931575,0.19789266160187477,0.8
5,0.0,0.6710929519918284,0.5077878565661801,1.0,0.6864038750626356,0.0,0.062383177570093463,0.06291023117202582,0.18024439918533602,0.08902046328035734,0.4414784394250514,0.5673174015483002,0.2685470400371268,0.8
6,0.0,0.8120531154239019,0.6968693506901474,1.0,0.7566115472412449,0.0,0.1191588785046729,0.04150309681334303,0.03503054989816701,0.08704684740833073,0.4486652977412732,0.5289801413665433,0.27144048987602537,0.8
7,0.0,0.8529111338100102,0.6588529656281857,0.6363636363636364,0.7801904125605478,0.0,0.3002336448598131,0.40703242856230715,0.052240325865580445,0.0745819050586891,0.7310061601642711,0.5574842525364235,0.1883576505931262,0.8
8,0.0,0.8059244126659857,0.8979560190442081,0.0,0.8980290629697678,1.0,0.058411214953271035,0.012156227176087718,0.6873727087576375,0.09836917004258856,0.8377823408624231,0.577030340914555,0.1938062283124111,0.8
9,0.0,0.773237997957099,0.6788615893450077,0.18181818181818182,0.7611769945994098,1.0,0.04521028037383178,0.021905016062436226,0.8543788187372708,0.0931754440635712,0.04835728952772075,0.6009809107082753,0.38184858409603384,0.8
10,0.0,0.49744637385086815,0.752893497097249,0.09090909090909091,0.9021212627359277,1.0,0.10864485981308411,0.3788915946635692,0.00175152749490835,0.11602783837124753,0.6016427104722792,0.38204548732990334,0.16826026346601103,0.8
11,0.0,0.7466802860061286,0.46476931557501283,0.8181818181818182,0.7429708813540448,0.0,0.05759345794392523,0.0061059478878590576,0.895112016293279,0.05266438142723591,0.43018480492813144,0.5818050680386595,0.399812417301537,0.8
12,0.0,0.8998978549540346,0.6838637452742132,0.36363636363636365,0.8933801013306608,0.0,0.06413551401869158,0.0025983939483377903,0.0037474541751527494,0.355977978601849,0.8305954825462014,0.5816944751646872,0.14608246199191924,0.8
13,0.0,0.7354443309499489,0.4217507745838456,0.09090909090909091,0.664857190579589,0.0,0.08060747663551403,0.4763794835270542,0.08625254582484725,0.14511270385374467,0.5605749486652979,0.5395922488820503,0.05136382718301801,0.8
14,0.0,0.46271705822267617,0.712876249663605,0.0,0.771866822559991,1.0,0.04275700934579439,0.03064877516668695,0.5458248472505092,0.11291160278383713,0.4096509240246407,0.5615761888733952,0.2692360831882328,0.8
15,0.0,0.6343207354443309,0.48677880166351695,0.09090909090909091,0.7856466789154277,0.0,0.10268691588785048,0.020598477345709108,0.007678207739307535,0.09213669886776774,0.5369609856262835,0.5962302255132952,0.34564282057776885,0.8
