,artist_name,track_name,track_id,popularity,explicit,year_song,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
446,Trefuego,90mh,7nduUhUmzj9IdkvFmdtO7g,73,True,2019,0.187,0.716,143334,0.427,0.0,1,0.354,-8.992,1,0.053,108.993,4,0.223
447,NF,The Search,2OKo7g3KfmCt3kyLvUAL0g,74,False,2019,0.596,0.789,248040,0.786,0.0,2,0.0997,-4.788,1,0.297,119.957,4,0.39
448,Luke Combs,"1, 2 Many",6pgN3d6oBrhmrSAKBfWNsf,72,False,2019,0.0397,0.54,180907,0.821,0.0,6,0.423,-3.789,1,0.0875,148.791,4,0.685
449,Granular,Brown Noise Hall Verb,3GMhHXO3cGrqMde11pQ3sL,73,False,2019,0.988,0.0,158929,0.333,0.707,5,0.111,-27.745,1,0.0,0.0,0,0.0
450,Anuel AA,Secreto,5W83ErFkO3aKAIS1WMi6u0,82,False,2019,0.602,0.807,258800,0.803,0.00853,11,0.136,-4.156,1,0.126,91.987,4,0.706
451,Dayglow,Can I Call You Tonight?,64lsIF5pw0sJY0gV5kz0RN,74,False,2019,0.132,0.641,278769,0.842,0.91,9,0.419,-7.27,1,0.0292,129.98,4,0.5
452,Jason Aldean,We Back,6UL2RC5J2vMau9KOMKQfJg,71,False,2019,0.0135,0.433,197160,0.928,2.01e-06,4,0.32,-5.117,0,0.0512,155.938,4,0.552
453,Kevin Abstract,Peach,5JRMqkR82k2fdDEAim9SCN,73,True,2019,0.683,0.646,176732,0.681,4.84e-06,7,0.107,-5.847,1,0.0764,131.896,4,0.421
454,ILLENIUM,In Your Arms (with X Ambassadors),70YPzqSEwJvAIQ6nMs1cjY,75,False,2019,0.198,0.404,220730,0.806,0.0,2,0.114,-4.75,1,0.0496,148.036,4,0.112
455,Mabel,Don't Call Me Up,5WHTFyqSii0lmT9R21abT8,84,False,2019,0.296,0.674,178480,0.881,3.01e-06,9,0.0793,-2.853,1,0.147,98.994,4,0.234
456,Young M.A,NNAN,7asoA129HgQkm3MOVEUF0K,75,True,2019,0.281,0.817,193479,0.539,0.0,5,0.199,-5.015,1,0.0626,96.039,4,0.674
457,Khalid,Outta My Head (with John Mayer),09oZ9eXQ2fo6YDrPzJqAoP,75,False,2019,0.0174,0.729,177067,0.545,0.000274,0,0.369,-7.818,1,0.0316,103.012,4,0.514
458,Gryffin,All You Need To Know (feat. Calle Lehmann),4Gcv5SsxnQWpmOnUI19EJk,76,False,2019,0.00968,0.513,238459,0.788,0.0,0,0.11,-4.629,1,0.0364,139.987,4,0.234
459,Lonr.,A.M.,1GGxh8QYLRZaQ07d6AHA8E,74,True,2019,0.0691,0.74,164935,0.761,0.0,0,0.142,-4.753,0,0.0851,146.144,4,0.453
460,Lil Tjay,Ruthless (feat. Jay Critch),395WRTyNwMGx80cDXqg6vM,72,True,2019,0.0489,0.521,244573,0.592,0.0,9,0.267,-9.801,1,0.134,129.754,4,0.356
461,DJ Luian,Verte Ir,4lzxJ4jCuFDXXGkE1LmpKR,83,False,2019,0.391,0.857,267500,0.647,1.2e-06,11,0.0842,-4.152,0,0.0984,95.982,4,0.553
462,Mitchell Tenpenny,Anything She Says (feat. Seaforth),6LQxv30jh0lCISHsPYwqoy,71,False,2019,0.169,0.612,169155,0.621,0.0,7,0.137,-5.657,1,0.0734,185.857,4,0.883
463,Why Don't We,Chills,7tN0ceaX3JAz6aVtyXn9mn,77,False,2019,0.00483,0.615,165597,0.689,0.0,1,0.177,-5.332,1,0.0658,162.919,4,0.783
464,Microdynamic Recordings,Calm Pour,1RXXLvEKXmz2c6TG1EDUz2,74,False,2019,0.0926,0.0,143583,0.00216,0.982,10,0.821,-22.55,1,0.0,0.0,0,0.0
465,Lil Peep,I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),2v5JTeM6hSmi5wWy7jiwrI,75,True,2019,0.15,0.741,233613,0.845,0.0,5,0.174,-3.568,0,0.0381,129.939,4,0.926
466,Bruce Brus,White Noise Crashing Waves,3AFEx7f9qxc6U59s27Tp1V,76,False,2019,0.862,0.0,168000,0.000431,0.977,0,0.162,-14.105,0,0.0,0.0,0,0.0
