iter	Passed	Remaining
405	9466	13850
406	9483	13817
407	9500	13784
408	9517	13752
409	9533	13718
410	9556	13695
411	9577	13668
412	9597	13640
413	9618	13614
414	9637	13585
415	9658	13558
416	9678	13531
417	9698	13504
418	9717	13475
419	9736	13445
420	9756	13417
421	9784	13401
422	9805	13375
423	9827	13350
424	9847	13322
425	9863	13290
426	9879	13256
427	9895	13224
428	9911	13192
429	9927	13159
430	9944	13128
431	9964	13101
432	9984	13074
433	10001	13042
434	10016	13009
435	10032	12977
436	10049	12947
437	10067	12917
438	10084	12886
439	10104	12859
440	10120	12828
441	10135	12795
442	10154	12768
443	10187	12756
444	10220	12746
445	10243	12724
446	10267	12702
447	10289	12678
448	10318	12662
449	10345	12645
450	10374	12628
451	10402	12612
452	10430	12595
453	10461	12581
454	10489	12564
455	10513	12542
456	10543	12527
457	10568	12506
458	10597	12491
459	10627	12475
460	10657	12460
461	10686	12443
462	10714	12426
463	10743	12410
464	10774	12396
465	10804	12380
466	10831	12362
467	10857	12342
468	10892	12331
469	10922	12317
470	10952	12300
471	10980	12283
472	11010	12266
473	11037	12248
474	11065	12230
475	11094	12213
476	11122	12194
477	11151	12177
478	11182	12162
479	11212	12146
480	11235	12123
481	11267	12108
482	11289	12084
483	11311	12059
484	11334	12035
485	11351	12005
486	11370	11977
487	11390	11950
488	11407	11920
489	11423	11889
490	11438	11857
491	11458	11830
492	11482	11809
493	11504	11783
494	11521	11754
495	11537	11724
496	11555	11694
497	11572	11665
498	11589	11635
499	11609	11609
500	11626	11579
501	11642	11550
502	11661	11521
503	11681	11496
504	11706	11474
505	11727	11449
506	11746	11421
507	11765	11395
508	11787	11370
509	11809	11346
510	11831	11321
511	11850	11295
512	11874	11272
513	11896	11248
514	11923	11229
515	11943	11202
516	11962	11175
517	11981	11148
518	11998	11119
519	12014	11090
520	12034	11063
521	12050	11034
522	12066	11005
523	12083	10976
524	12104	10951
525	12126	10927
526	12142	10898
527	12158	10868
528	12174	10839
529	12190	10810
530	12207	10781
531	12223	10752
532	12242	10726
533	12257	10696
534	12273	10667
535	12289	10638
536	12309	10612
537	12330	10588
538	12347	10560
539	12364	10532
540	12379	10503
541	12395	10474
542	12411	10445
543	12427	10417
544	12444	10389
545	12467	10366
546	12490	10343
547	12518	10325
548	12544	10305
549	12568	10283
550	12588	10258
551	12605	10230
552	12621	10201
553	12637	10173
554	12653	10145
555	12669	10117
556	12686	10089
557	12703	10062
558	12720	10034
559	12744	10013
560	12761	9986
561	12778	9958
562	12794	9930
563	12811	9903
564	12827	9875
565	12843	9848
566	12860	9821
567	12876	9793
568	12892	9765
569	12907	9737
570	12928	9713
571	12949	9689
572	12965	9661
573	12983	9636
574	13006	9613
575	13028	9590
576	13049	9566
577	13073	9544
578	13097	9523
579	13116	9498
580	13136	9473
581	13157	9449
582	13173	9422
583	13190	9395
584	13206	9368
585	13223	9341
586	13239	9315
587	13256	9288
588	13272	9261
589	13288	9234
590	13305	9207
591	13321	9180
592	13340	9156
593	13361	9132
594	13377	9105
595	13394	9079
596	13411	9053
597	13430	9028
598	13454	9007
599	13484	8989
600	13514	8971
601	13545	8955
602	13570	8934
603	13598	8915
604	13621	8893
605	13645	8871
606	13669	8850
607	13693	8828
608	13716	8806
609	13743	8786
610	13771	8767
611	13796	8746
612	13823	8726
613	13841	8701
614	13864	8679
615	13882	8654
616	13905	8631
617	13932	8612
618	13956	8590
619	13983	8570
620	14016	8554
621	14044	8534
622	14068	8513
623	14091	8490
624	14107	8464
625	14122	8437
626	14139	8411
627	14155	8384
628	14170	8358
629	14191	8334
630	14212	8311
631	14228	8285
632	14244	8258
633	14260	8232
634	14277	8206
635	14293	8180
636	14318	8159
637	14341	8137
638	14363	8114
639	14379	8088
640	14401	8065
641	14422	8042
642	14439	8016
643	14457	7992
644	14477	7968
645	14496	7943
646	14512	7918
647	14530	7892
648	14546	7867
649	14563	7841
650	14581	7816
651	14598	7791
652	14621	7769
653	14639	7745
654	14655	7719
655	14678	7697
656	14694	7671
657	14711	7646
658	14730	7622
659	14748	7597
660	14764	7572
661	14780	7546
662	14797	7521
663	14813	7495
664	14839	7475
665	14858	7451
666	14875	7426
667	14896	7403
668	14914	7379
669	14931	7354
670	14948	7329
671	14968	7306
672	14988	7282
673	15037	7273
674	15074	7258
675	15105	7240
676	15140	7223
677	15170	7204
678	15202	7186
679	15227	7165
680	15251	7144
681	15292	7130
682	15328	7114
683	15348	7090
684	15372	7069
685	15392	7045
686	15410	7020
687	15428	6996
688	15447	6972
689	15465	6948
690	15483	6923
691	15505	6901
692	15529	6879
693	15557	6859
694	15585	6839
695	15606	6816
696	15624	6792
697	15642	6767
698	15659	6743
699	15677	6719
700	15694	6694
701	15718	6672
702	15742	6650
703	15765	6628
704	15782	6604
705	15803	6580
706	15822	6557
707	15840	6533
708	15864	6511
709	15884	6488
710	15905	6465
711	15934	6445
712	15962	6425
713	15984	6402
714	16006	6380
715	16024	6356
716	16043	6332
717	16060	6307
718	16078	6283
719	16096	6259
720	16113	6235
721	16130	6211
722	16157	6190
723	16178	6167
724	16195	6143
725	16212	6118
726	16231	6095
727	16248	6070
728	16265	6046
729	16283	6022
730	16300	5998
731	16317	5974
732	16333	5949
733	16351	5925
734	16379	5905
735	16398	5882
736	16414	5857
737	16431	5833
738	16448	5809
739	16464	5784
740	16482	5761
741	16500	5737
742	16518	5713
743	16535	5689
744	16556	5666
745	16574	5643
746	16606	5624
747	16629	5602
748	16658	5582
749	16688	5562
750	16721	5544
751	16746	5522
752	16773	5501
753	16794	5479
754	16824	5459
755	16841	5435
756	16857	5411
757	16874	5387
758	16892	5363
759	16909	5339
760	16926	5315
761	16943	5292
762	16963	5269
763	16985	5246
764	17007	5224
765	17037	5204
766	17061	5182
767	17078	5159
768	17096	5135
769	17115	5112
770	17132	5088
771	17149	5064
772	17166	5041
773	17182	5017
774	17199	4993
775	17216	4969
776	17234	4946
777	17264	4926
778	17290	4905
779	17309	4882
780	17328	4859
781	17348	4836
782	17367	4813
783	17385	4789
784	17404	4766
785	17421	4743
786	17439	4719
787	17462	4698
788	17489	4677
789	17507	4653
790	17525	4630
791	17543	4607
792	17561	4584
793	17580	4561
794	17599	4538
795	17619	4515
796	17638	4492
797	17657	4469
798	17686	4449
799	17705	4426
800	17725	4403
801	17743	4380
802	17761	4357
803	17780	4334
804	17797	4311
805	17816	4288
806	17834	4265
807	17852	4242
808	17870	4219
809	17900	4198
810	17922	4176
811	17946	4155
812	17964	4132
813	17989	4110
814	18017	4089
815	18040	4067
816	18064	4046
817	18088	4024
818	18122	4005
819	18149	3983
820	18173	3962
821	18198	3940
822	18223	3919
823	18249	3897
824	18273	3876
825	18298	3854
826	18325	3833
827	18354	3812
828	18374	3790
829	18396	3768
830	18419	3745
831	18437	3723
832	18455	3699
833	18471	3676
834	18488	3653
835	18505	3630
836	18527	3608
837	18550	3586
838	18569	3563
839	18586	3540
840	18604	3517
841	18621	3494
842	18637	3471
843	18654	3447
844	18671	3425
845	18690	3402
846	18706	3379
847	18723	3356
848	18749	3334
849	18766	3311
850	18784	3289
851	18828	3270
852	18864	3250
853	18893	3230
854	18914	3207
855	18932	3184
856	18960	3163
857	18986	3142
858	19008	3120
859	19026	3097
860	19047	3074
861	19067	3052
862	19091	3030
863	19108	3007
864	19126	2985
865	19142	2962
866	19163	2939
867	19188	2918
868	19205	2895
869	19222	2872
870	19240	2849
871	19256	2826
872	19273	2803
873	19290	2780
874	19308	2758
875	19332	2736
876	19355	2714
877	19389	2694
878	19416	2672
879	19438	2650
880	19459	2628
881	19477	2605
882	19494	2583
883	19511	2560
884	19527	2537
885	19545	2514
886	19564	2492
887	19582	2469
888	19611	2448
889	19629	2426
890	19645	2403
891	19663	2380
892	19682	2358
893	19707	2336
894	19736	2315
895	19764	2294
896	19791	2272
897	19822	2251
898	19850	2230
899	19889	2209
900	19930	2189
901	19960	2168
902	19989	2147
903	20018	2125
904	20050	2104
905	20077	2083
906	20105	2061
907	20132	2039
908	20161	2018
909	20190	1996
910	20220	1975
911	20251	1954
912	20281	1932
913	20310	1911
914	20340	1889
915	20368	1867
916	20393	1845
917	20419	1823
918	20442	1801
919	20473	1780
920	20490	1757
921	20506	1734
922	20522	1712
923	20538	1689
924	20554	1666
925	20571	1643
926	20589	1621
927	20606	1598
928	20622	1576
929	20639	1553
930	20654	1530
931	20676	1508
932	20700	1486
933	20717	1463
934	20733	1441
935	20749	1418
936	20767	1396
937	20784	1373
938	20800	1351
939	20816	1328
940	20833	1306
941	20851	1283
942	20884	1262
943	20909	1240
944	20925	1217
945	20941	1195
946	20962	1173
947	20983	1150
948	21002	1128
949	21021	1106
950	21040	1084
951	21062	1061
952	21083	1039
953	21112	1017
954	21131	995
955	21150	973
956	21170	951
957	21189	928
958	21208	906
959	21225	884
960	21240	862
961	21258	839
962	21275	817
963	21291	795
964	21311	772
965	21336	750
966	21352	728
967	21368	706
968	21385	684
969	21403	661
970	21419	639
971	21435	617
972	21451	595
973	21467	573
974	21484	550
975	21500	528
976	21523	506
977	21541	484
978	21557	462
979	21574	440
980	21591	418
981	21608	396
982	21625	373
983	21642	351
984	21660	329
985	21676	307
986	21693	285
987	21709	263
988	21730	241
989	21752	219
990	21768	197
991	21784	175
992	21801	153
993	21817	131
994	21833	109
995	21849	87
996	21865	65
997	21881	43
998	21897	21
999	21914	0
