iter	MultiClass
562	1.333189505
563	1.333007828
564	1.332923416
565	1.33278798
566	1.332647683
567	1.332544841
568	1.332454936
569	1.332356622
570	1.332250048
571	1.33209697
572	1.331996938
573	1.331908423
574	1.331800498
575	1.3317178
576	1.331619013
577	1.331484903
578	1.3313914
579	1.331312992
580	1.331204792
581	1.331104428
582	1.330995401
583	1.33087581
584	1.330778647
585	1.33063907
586	1.330529201
587	1.330430655
588	1.330348355
589	1.330256071
590	1.330113536
591	1.330043067
592	1.329967873
593	1.329803094
594	1.329739952
595	1.329619275
596	1.32951241
597	1.329371156
598	1.329244357
599	1.329137709
600	1.328974181
601	1.328899357
602	1.328725389
603	1.328647151
604	1.328533409
605	1.328441843
606	1.328297766
607	1.328187383
608	1.328051052
609	1.327929085
610	1.327839563
611	1.327741489
612	1.327625722
613	1.327498745
614	1.32737335
615	1.327278748
616	1.327211544
617	1.327065752
618	1.326972985
619	1.326895981
620	1.326815748
621	1.326729164
622	1.326590494
623	1.326492928
624	1.32639648
625	1.32632647
626	1.326216208
627	1.326126036
628	1.326012859
629	1.325876159
630	1.325774194
631	1.325693284
632	1.325583215
633	1.325504432
634	1.325412671
635	1.325352035
636	1.325253341
637	1.325177577
638	1.32509152
639	1.325005156
640	1.324898459
641	1.32479756
642	1.324688515
643	1.324599412
644	1.324508042
645	1.324410938
646	1.324283662
647	1.324199421
648	1.324126113
649	1.324014309
650	1.323870496
651	1.323777795
652	1.323678132
653	1.323601846
654	1.323463509
655	1.323355913
656	1.323220461
657	1.3231514
658	1.32302039
659	1.322944788
660	1.32284042
661	1.322753685
662	1.322619743
663	1.322519055
664	1.32237013
665	1.322247955
666	1.322204674
667	1.322118587
668	1.321990407
669	1.321913193
670	1.32181791
671	1.32174959
672	1.321641224
673	1.321544782
674	1.321459863
675	1.3213982
676	1.321325825
677	1.321242111
678	1.321139237
679	1.321074631
680	1.320999259
681	1.320929757
682	1.320837946
683	1.320730171
684	1.320624397
685	1.320527234
686	1.320459559
687	1.320316024
688	1.320216036
689	1.320134848
690	1.320009801
691	1.31993109
692	1.319852162
693	1.319710895
694	1.31955335
695	1.319392102
696	1.319317889
697	1.319246355
698	1.319151604
699	1.319085529
700	1.319023704
701	1.318936577
702	1.318791102
703	1.318659732
704	1.318583944
705	1.318481584
706	1.318396307
707	1.318283911
708	1.31819594
709	1.318102037
710	1.318003456
711	1.317855283
712	1.317789871
713	1.317675506
714	1.317521257
715	1.317449796
716	1.317304235
717	1.317228196
718	1.317126691
719	1.31702726
720	1.316927867
721	1.316862499
722	1.316775622
723	1.316677123
724	1.316577991
725	1.316475824
726	1.316373936
727	1.31629249
728	1.316186994
729	1.316094709
730	1.3159704
731	1.315892064
732	1.315823344
733	1.315724669
734	1.31558862
735	1.315513482
736	1.315422087
737	1.31534053
738	1.315242521
739	1.315172686
740	1.315064925
741	1.314952702
742	1.314872629
743	1.314786292
744	1.314710173
745	1.314646173
746	1.314547738
747	1.314478837
748	1.314325876
749	1.314243356
750	1.314162743
751	1.314065269
752	1.313902489
753	1.313840891
754	1.313750755
755	1.313667716
756	1.313571328
757	1.313432141
758	1.313300318
759	1.313152822
760	1.313070923
761	1.31295724
762	1.312858317
763	1.312736376
764	1.312607294
765	1.312475278
766	1.312362612
767	1.31230237
768	1.312216697
769	1.312114377
770	1.312009009
771	1.311884191
772	1.311771782
773	1.311715016
774	1.311649122
775	1.311585883
776	1.31149746
777	1.311408314
778	1.311332937
779	1.311252189
780	1.311165148
781	1.3110453
782	1.310956865
783	1.310883783
784	1.310774856
785	1.310693933
786	1.310599134
787	1.310510351
788	1.310424286
789	1.31034086
790	1.310258748
791	1.310168847
792	1.310101482
793	1.30998671
794	1.309869874
795	1.309751994
796	1.309656369
797	1.30952048
798	1.309398601
799	1.309290463
800	1.309175359
801	1.309115378
802	1.309040961
803	1.308931774
804	1.308791051
805	1.308731113
806	1.308637038
807	1.308549541
808	1.308446685
809	1.308367441
810	1.308290658
811	1.308173557
812	1.308072378
813	1.307993275
814	1.307909644
815	1.307837031
816	1.307752178
817	1.307641294
818	1.307507855
819	1.307441813
820	1.307305808
821	1.30720302
822	1.30712333
823	1.307048719
824	1.306986048
825	1.306884639
826	1.30680409
827	1.306712901
828	1.306595353
829	1.306470849
830	1.306383036
831	1.306256016
832	1.306132901
833	1.306048189
834	1.305966763
835	1.305881833
836	1.305757411
837	1.30564878
838	1.305553732
839	1.305436497
840	1.305339641
841	1.305229584
842	1.305151497
843	1.30508402
844	1.304992992
845	1.304899445
846	1.30477133
847	1.304691817
848	1.304567046
849	1.304474112
850	1.304378708
851	1.304280959
852	1.30420827
853	1.304103809
854	1.304035559
855	1.303955354
856	1.303860878
857	1.303798747
858	1.30371655
859	1.303630657
860	1.303539989
861	1.303462681
862	1.303344081
863	1.303256931
864	1.303159307
865	1.303090027
866	1.302979372
867	1.302922717
868	1.302874199
869	1.302758249
870	1.302664165
871	1.302576811
872	1.302523387
873	1.302463754
874	1.302405857
875	1.302343415
876	1.302203711
877	1.30211395
878	1.302035851
879	1.301949153
880	1.301897829
881	1.301789513
882	1.301705419
883	1.301624422
884	1.301538065
885	1.301397211
886	1.301337052
887	1.301249813
888	1.301121143
889	1.301012896
890	1.300943608
891	1.300841876
892	1.300747218
893	1.300691289
894	1.300608329
895	1.300516488
896	1.300451959
897	1.300329248
898	1.300218999
899	1.300078072
900	1.299960715
901	1.299873196
902	1.299799243
903	1.29968487
904	1.299592894
905	1.299508421
906	1.299442395
907	1.29934189
908	1.299249296
909	1.299143708
910	1.299025189
911	1.298936146
912	1.298807143
913	1.298717678
914	1.298650904
915	1.29857497
916	1.298494808
917	1.298415836
918	1.298279553
919	1.298191426
920	1.298131896
921	1.298039996
922	1.29795303
923	1.297850455
924	1.297756229
925	1.297678035
926	1.297603679
927	1.297499443
928	1.297380247
929	1.297244123
930	1.297183046
931	1.297107371
932	1.297007663
933	1.296934978
934	1.296822359
935	1.296718188
936	1.29662791
937	1.296555557
938	1.296454268
939	1.296360609
940	1.296270023
941	1.296210571
942	1.296089003
943	1.296008515
944	1.295897489
945	1.295810309
946	1.295755775
947	1.295682356
948	1.295605559
949	1.295496138
950	1.295447663
951	1.295351064
952	1.295264732
953	1.295157067
954	1.295093451
955	1.295015501
956	1.294877632
957	1.294781708
958	1.294659382
959	1.29456557
960	1.294495346
961	1.294391663
962	1.294334818
963	1.294253574
964	1.294159299
965	1.294029725
966	1.293970152
967	1.293912183
968	1.293751543
969	1.293562402
970	1.293493558
971	1.293410071
972	1.293334469
973	1.293269408
974	1.293201589
975	1.293079843
976	1.292968591
977	1.292916954
978	1.292824019
979	1.292736712
980	1.292648989
981	1.292538697
982	1.292432793
983	1.292332913
984	1.292244724
985	1.292175821
986	1.292095236
987	1.291975907
988	1.291889719
989	1.291844109
990	1.291754078
991	1.291655277
992	1.291516978
993	1.291421515
994	1.29138065
995	1.29131161
996	1.291207777
997	1.291173898
998	1.291097835
999	1.29100096
